
2025/02/25 (22:24:27) | ===> btop++ v.1.4.0
2025/02/25 (22:24:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/25 (22:34:36) | ===> btop++ v.1.4.0
2025/02/25 (22:34:36) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/25 (22:35:05) | ===> btop++ v.1.4.0
2025/02/25 (22:35:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/26 (09:51:34) | ===> btop++ v.1.4.0
2025/02/26 (09:51:34) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/26 (13:32:43) | ===> btop++ v.1.4.0
2025/02/26 (13:32:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/27 (11:54:48) | ===> btop++ v.1.4.0
2025/02/27 (11:54:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/27 (14:39:58) | ===> btop++ v.1.4.0
2025/02/27 (14:39:58) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/28 (19:38:14) | ===> btop++ v.1.4.0
2025/02/28 (19:38:14) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/02 (10:18:04) | ===> btop++ v.1.4.0
2025/03/02 (10:18:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/02 (12:38:56) | ===> btop++ v.1.4.0
2025/03/02 (12:38:56) | WARNING: Intel GPU: Failed to initialize PMU
